model,f1-score_mean,f1-score_std,auc_mean,auc_std,accuracy_mean,accuracy_std
TF-IDF,0.5578862956967244,0.16535106871394556,,,,
tabular_rf,0.4351783832663137,0.1697192944185357,,,,
bert_Transformer,0.3875688888888889,0.2151192105590771,,,,
LSTM,0.36968628099269274,0.20415348904009623,,,,
GRU,0.3693669167798904,0.18640110196885998,,,,
tabular_xgb,0.25321286763294015,0.14757341181104738,,,,
Transformer,0.20003720983068757,0.18998002647286383,,,,
