iteration,class,precision,recall,f1-score,auc,accuracy,iter_num,model
iter1,0,0.7239,0.4335,0.5423,,,1.0,BERT Transformer
iter1,1,0.3309,0.7303,0.4555,,,1.0,BERT Transformer
iter1,2,0.2208,0.0627,0.0977,,,1.0,BERT Transformer
iter1,Accuracy,0.4705,,,,,1.0,BERT Transformer
iter1,MacroAUC,0.6055,,,,,1.0,BERT Transformer
iter1,MicroAUC,0.5776,,,,,1.0,BERT Transformer
iter1,0,0.7637457044673539,0.5394417475728155,0.6322901849217639,,,1.0,GRU
iter1,1,0.3551251008878127,0.623229461756374,0.4524421593830334,,,1.0,GRU
iter1,2,0.1623931623931624,0.1342756183745583,0.1470019342359768,,,1.0,GRU
iter1,Accuracy,0.5183921122487676,,,,,1.0,GRU
iter1,MacroAUC,0.6522450591489322,,,,,1.0,GRU
iter1,MicroAUC,0.6607610203905249,,,,,1.0,GRU
iter1,0,0.7348,0.1462,0.2439,,,1.0,GRU
iter1,1,0.4039,0.1459,0.2144,,,1.0,GRU
iter1,2,0.1212,0.8799,0.2131,,,1.0,GRU
iter1,0,0.6633906633906634,0.6553398058252428,0.6593406593406593,,,1.0,LSTM
iter1,1,0.3577235772357723,0.2492917847025495,0.2938230383973289,,,1.0,LSTM
iter1,2,0.1508704061895551,0.2756183745583039,0.195,,,1.0,LSTM
iter1,Accuracy,0.5058778915434206,,,,,1.0,LSTM
iter1,MacroAUC,0.6048490456457385,,,,,1.0,LSTM
iter1,MicroAUC,0.6284848907117853,,,,,1.0,LSTM
iter1,0,0.6860611134365844,0.678113363673976,0.6820640865584686,,,1.0,tabular_rf
iter1,1,0.4078826764436297,0.3938053097345133,0.4007203962179199,,,1.0,tabular_rf
iter1,2,0.2309090909090909,0.2629399585921325,0.2458857696030977,,,1.0,tabular_rf
iter1,Accuracy,0.5486352357320099,,,,,1.0,tabular_rf
iter1,MacroAUC,0.6537146972593584,,,,,1.0,tabular_rf
iter1,0,0.7914691943127962,0.0690939180802647,0.1270928462709284,,,1.0,tabular_xgb
iter1,1,0.3113138686131387,0.7548672566371681,0.4408268733850129,,,1.0,tabular_xgb
iter1,2,0.1436515291936978,0.3209109730848861,0.1984635083226632,,,1.0,tabular_xgb
iter1,Accuracy,0.2915632754342431,,,,,1.0,tabular_xgb
iter1,MacroAUC,0.5703326088595289,,,,,1.0,tabular_xgb
iter1,0,0.8053097345132744,0.6696100073583517,0.7312173563680193,,,1.0,TF-IDF
iter1,1,0.5218543046357615,0.652317880794702,0.5798381162619574,,,1.0,TF-IDF
iter1,2,0.3325,0.4130434782608695,0.3684210526315789,,,1.0,TF-IDF
iter1,Accuracy,0.6288840262582057,,,,,1.0,TF-IDF
iter1,MacroAUC,0.7772171340704582,,,,,1.0,TF-IDF
iter1,0,0.8181818181818182,0.0054611650485436,0.0108499095840868,,,1.0,Transformer
iter1,1,0.254054054054054,0.1331444759206798,0.174721189591078,,,1.0,Transformer
iter1,2,0.1192375886524822,0.950530035335689,0.2118944466325324,,,1.0,Transformer
iter1,Accuracy,0.1410693970420933,,,,,1.0,Transformer
iter1,MacroAUC,0.5690889930505536,,,,,1.0,Transformer
iter1,MicroAUC,0.3872994630681576,,,,,1.0,Transformer
iter10,0,0.734,0.5117,0.603,,,10.0,BERT Transformer
iter10,1,0.35,0.6994,0.4665,,,10.0,BERT Transformer
iter10,2,0.1754,0.0385,0.0631,,,10.0,BERT Transformer
iter10,Accuracy,0.5098,,,,,10.0,BERT Transformer
iter10,MacroAUC,0.623,,,,,10.0,BERT Transformer
iter10,MicroAUC,0.6062,,,,,10.0,BERT Transformer
iter10,0,0.6671732522796353,0.2663834951456311,0.3807458803122289,,,10.0,GRU
iter10,1,0.3491379310344827,0.1147308781869688,0.1727078891257995,,,10.0,GRU
iter10,2,0.1230681167716084,0.7597173144876325,0.2118226600985221,,,10.0,GRU
iter10,Accuracy,0.2787258248009101,,,,,10.0,GRU
iter10,MacroAUC,0.571035901136696,,,,,10.0,GRU
iter10,MicroAUC,0.5265562100207815,,,,,10.0,GRU
iter10,0,0.6666666666666666,0.6262135922330098,0.6458072590738423,,,10.0,LSTM
iter10,1,0.3262955854126679,0.2407932011331444,0.2770986145069274,,,10.0,LSTM
iter10,2,0.1619718309859155,0.3250883392226148,0.2162162162162162,,,10.0,LSTM
iter10,Accuracy,0.490709139173303,,,,,10.0,LSTM
iter10,MacroAUC,0.572409803863926,,,,,10.0,LSTM
iter10,MicroAUC,0.6134629292402437,,,,,10.0,LSTM
iter10,0,0.6997270245677889,0.629038854805726,0.6625026922248546,,,10.0,tabular_rf
iter10,1,0.3904682274247492,0.4257064721969006,0.4073266463148713,,,10.0,tabular_rf
iter10,2,0.2200328407224959,0.2906724511930585,0.2504672897196262,,,10.0,tabular_rf
iter10,Accuracy,0.5343492380714464,,,,,10.0,tabular_rf
iter10,MacroAUC,0.6459737522759639,,,,,10.0,tabular_rf
iter10,0,0.768025078369906,0.1002044989775051,0.1772793053545586,,,10.0,tabular_xgb
iter10,1,0.3041599135602377,0.5132178669097539,0.3819538670284939,,,10.0,tabular_xgb
iter10,2,0.1653027823240589,0.6572668112798264,0.2641673931996512,,,10.0,tabular_xgb
iter10,Accuracy,0.277541843617287,,,,,10.0,tabular_xgb
